"timestamp_utc","alertname","service","iteration","analysis_mode","expected_severity","predicted_severity","severity_match","confidence","request_latency_ms","model_duration_ms","prompt_tokens","output_tokens","probable_cause","recommendations","human_score_1_to_5","human_comment"
"2026-08-05T07:48:45.5783003Z","TrainingHubServiceDown","user-service","1","rules","critical","critical","True","0.55","1254","",,,"Le processus, le conteneur ou sa connectivite est indisponible.","Verifier l'etat du conteneur ou du pod concerne. | Consulter les derniers logs correles du service. | Verifier la connectivite reseau et les dependances.","",""
"2026-08-05T07:48:45.7228829Z","TrainingHubHighErrorRate","course-service","1","rules","warning","warning","True","0.55","63","",,,"Une dependance ou un chemin applicatif echoue de facon repetee.","Identifier les endpoints qui produisent des erreurs 5xx. | Verifier MySQL et les appels entre microservices. | Comparer avec le dernier deploiement reussi.","",""
"2026-08-05T07:48:45.8388997Z","TrainingHubHighP95Latency","frontend-service","1","rules","warning","warning","True","0.55","105","",,,"Une dependance lente ou une saturation des ressources est probable.","Comparer la latence avec le trafic et l'utilisation des ressources. | Verifier les temps de reponse MySQL et des services dependants. | Examiner les requetes lentes avant toute action corrective.","",""
